Feature,Day,Albumin,Cell,Coat,Cell Seeding,Co-Cell Seeding
scaffold-1,2,13.405,8.0,1.3,1.0,-1.0
scaffold-1,7,17.024,8.0,1.3,1.0,-1.0
scaffold-1,11,11.796,8.0,1.3,1.0,-1.0
scaffold-1,14,12.064,8.0,1.3,1.0,-1.0
scaffold-2,1,75.556,8.0,-1.0,40.0,-1.0
scaffold-2,2,54.444,8.0,-1.0,40.0,-1.0
scaffold-2,3,62.222,8.0,-1.0,40.0,-1.0
scaffold-2,4,87.778,8.0,-1.0,40.0,-1.0
scaffold-3,1,0.153,1.0,1.3,0.02,-1.0
scaffold-3,3,0.81,1.0,1.3,0.02,-1.0
scaffold-3,7,1.713,1.0,1.3,0.02,-1.0
scaffold-3,14,1.437,1.0,1.3,0.02,-1.0
scaffold-7,7,7.429,8.14,1.0,1.0,0.1
scaffold-8,2,1.224,5.0,-1.0,7.5,-1.0
scaffold-8,4,8.98,5.0,-1.0,7.5,-1.0
scaffold-8,7,2.653,5.0,-1.0,7.5,-1.0
scaffold-8,11,3.878,5.0,-1.0,7.5,-1.0
scaffold-8,14,7.551,5.0,-1.0,7.5,-1.0
scaffold-8,18,7.347,5.0,-1.0,7.5,-1.0
scaffold-8,21,7.143,5.0,-1.0,7.5,-1.0
scaffold-9,2,6.383,6.0,1.0,0.3,-1.0
scaffold-9,6,10.213,6.0,1.0,0.3,-1.0
scaffold-9,9,8.207,6.0,1.0,0.3,-1.0
scaffold-9,15,4.012,6.0,1.0,0.3,-1.0
scaffold-11-1,1,47.327,8.0,-1.0,4.0,-1.0
scaffold-11-1,3,24.263,8.0,-1.0,4.0,-1.0
scaffold-11-1,5,16.325,8.0,-1.0,4.0,-1.0
scaffold-11-1,7,10.783,8.0,-1.0,4.0,-1.0
scaffold-11-2,1,0.045,8.13,-1.0,0.1,0.3
scaffold-11-2,3,0.028,8.13,-1.0,0.1,0.3
scaffold-11-2,5,0.019,8.13,-1.0,0.1,0.3
scaffold-11-2,7,0.01,8.13,-1.0,0.1,0.3
scaffold-12,21,4.225,9.0,-1.0,1.0,-1.0
scaffold-13,5,5.5,10.0,2.0,0.8,-1.0
scaffold-13,9,0.605,10.0,2.0,0.8,-1.0
scaffold-13,12,0.158,10.0,2.0,0.8,-1.0
scaffold-13,15,0.158,10.0,2.0,0.8,-1.0
