Feature,Day,Albumin,Cell,Coat,Cell Seeding,Co-Cell Seeding
scaffold-1,2,13.405,8,1.3,1,-1
scaffold-1,7,17.024,8,1.3,1,-1
scaffold-1,11,11.796,8,1.3,1,-1
scaffold-1,14,12.064,8,1.3,1,-1
scaffold-2,1,75.556,8,-1,40,-1
scaffold-2,2,54.444,8,-1,40,-1
scaffold-2,3,62.222,8,-1,40,-1
scaffold-2,4,87.778,8,-1,40,-1
scaffold-3,1,0.153,1,1.3,0.02,-1
scaffold-3,3,0.81,1,1.3,0.02,-1
scaffold-3,7,1.713,1,1.3,0.02,-1
scaffold-3,14,1.437,1,1.3,0.02,-1
scaffold-7,7,7.429,8.14,1,1,0.1
scaffold-8,2,1.224,5,-1,7.5,-1
scaffold-8,4,8.98,5,-1,7.5,-1
scaffold-8,7,2.653,5,-1,7.5,-1
scaffold-8,11,3.878,5,-1,7.5,-1
scaffold-8,14,7.551,5,-1,7.5,-1
scaffold-8,18,7.347,5,-1,7.5,-1
scaffold-8,21,7.143,5,-1,7.5,-1
scaffold-9,2,6.383,6,1,0.3,-1
scaffold-9,6,10.213,6,1,0.3,-1
scaffold-9,9,8.207,6,1,0.3,-1
scaffold-9,15,4.012,6,1,0.3,-1
scaffold-11,1,47.327,8,-1,4,-1
scaffold-11,3,24.263,8,-1,4,-1
scaffold-11,5,16.325,8,-1,4,-1
scaffold-11,7,10.783,8,-1,4,-1
scaffold-11,1,0.045,8.13,-1,0.1,0.3
scaffold-11,3,0.028,8.13,-1,0.1,0.3
scaffold-11,5,0.019,8.13,-1,0.1,0.3
scaffold-11,7,0.01,8.13,-1,0.1,0.3
scaffold-12,21,4.225,9,-1,1,-1
scaffold-13,5,5.5,10,2,0.8,-1
scaffold-13,9,0.605,10,2,0.8,-1
scaffold-13,12,0.158,10,2,0.8,-1
scaffold-13,15,0.158,10,2,0.8,-1
scaffold-15,14,0.055,15,3,0.01,-1
scaffold-15,28,0.128,15,3,0.01,-1
scaffold-17,1,0.762,4,-1,2,-1
scaffold-17,4,0.997,4,-1,2,-1
scaffold-17,7,1.081,4,-1,2,-1
scaffold-17,10,0.63,4,-1,2,-1
scaffold-17,13,0.353,4,-1,2,-1
scaffold-17,1,0.9,16,-1,2,-1
scaffold-17,4,1.059,16,-1,2,-1
scaffold-17,7,1.324,16,-1,2,-1
