Feature,Day,Urea,Cell,Coat,Cell Seeding,Co-Cell Seeding
scaffold-1,2,25.306,8.0,1.3,1.0,-1.0
scaffold-1,7,20.204,8.0,1.3,1.0,-1.0
scaffold-1,11,22.449,8.0,1.3,1.0,-1.0
scaffold-1,14,20.612,8.0,1.3,1.0,-1.0
scaffold-8,2,45.695,5.0,-1.0,7.5,-1.0
scaffold-8,4,58.94,5.0,-1.0,7.5,-1.0
scaffold-8,7,55.629,5.0,-1.0,7.5,-1.0
scaffold-8,11,58.94,5.0,-1.0,7.5,-1.0
scaffold-8,14,59.603,5.0,-1.0,7.5,-1.0
scaffold-8,18,59.603,5.0,-1.0,7.5,-1.0
scaffold-8,21,54.305,5.0,-1.0,7.5,-1.0
scaffold-9,2,12.401,6.0,1.0,0.3,-1.0
scaffold-9,6,12.036,6.0,1.0,0.3,-1.0
scaffold-9,9,12.219,6.0,1.0,0.3,-1.0
scaffold-9,15,10.213,6.0,1.0,0.3,-1.0
scaffold-11-1,1,25.54,8.0,-1.0,4.0,-1.0
scaffold-11-1,3,17.839,8.0,-1.0,4.0,-1.0
scaffold-11-1,5,12.024,8.0,-1.0,4.0,-1.0
scaffold-11-1,7,8.644,8.0,-1.0,4.0,-1.0
scaffold-11-2,1,0.03,8.13,-1.0,0.1,0.3
scaffold-11-2,3,0.025,8.13,-1.0,0.1,0.3
scaffold-11-2,5,0.015,8.13,-1.0,0.1,0.3
scaffold-11-2,7,0.009,8.13,-1.0,0.1,0.3
scaffold-12,21,28.571,9.0,-1.0,1.0,-1.0
scaffold-13,1,611.392,10.0,2.0,0.8,-1.0
scaffold-13,5,305.696,10.0,2.0,0.8,-1.0
scaffold-13,9,166.139,10.0,2.0,0.8,-1.0
scaffold-17-1,1,23.409,4.0,-1.0,2.0,-1.0
scaffold-17-1,4,28.864,4.0,-1.0,2.0,-1.0
scaffold-17-1,7,31.818,4.0,-1.0,2.0,-1.0
scaffold-17-1,10,15.682,4.0,-1.0,2.0,-1.0
scaffold-17-1,13,12.727,4.0,-1.0,2.0,-1.0
scaffold-17-2,1,32.774,16.0,-1.0,2.0,-1.0
scaffold-17-2,4,43.613,16.0,-1.0,2.0,-1.0
scaffold-17-2,7,47.226,16.0,-1.0,2.0,-1.0
scaffold-17-2,10,28.129,16.0,-1.0,2.0,-1.0
scaffold-17-2,13,19.871,16.0,-1.0,2.0,-1.0
scaffold-18,3,13.026,4.0,11.0,0.08,-1.0
scaffold-18,7,18.196,4.0,11.0,0.08,-1.0
scaffold-18,9,26.847,4.0,11.0,0.08,-1.0
scaffold-19,2,63.312,10.0,1.0,8.0,-1.0
scaffold-19,4,61.688,10.0,1.0,8.0,-1.0
scaffold-19,6,94.156,10.0,1.0,8.0,-1.0
scaffold-19,8,121.753,10.0,1.0,8.0,-1.0
scaffold-19,10,193.182,10.0,1.0,8.0,-1.0
scaffold-19,12,53.571,10.0,1.0,8.0,-1.0
scaffold-19,14,56.818,10.0,1.0,8.0,-1.0
scaffold-19,16,43.831,10.0,1.0,8.0,-1.0
scaffold-19,18,12.987,10.0,1.0,8.0,-1.0
scaffold-19,20,29.221,10.0,1.0,8.0,-1.0
scaffold-19,22,32.468,10.0,1.0,8.0,-1.0
scaffold-19,24,56.818,10.0,1.0,8.0,-1.0
scaffold-21-1,2,133.974,10.0,-1.0,0.75,-1.0
scaffold-21-1,4,113.462,10.0,-1.0,0.75,-1.0
scaffold-21-1,6,94.231,10.0,-1.0,0.75,-1.0
scaffold-21-1,8,76.923,10.0,-1.0,0.75,-1.0
scaffold-21-1,14,14.103,10.0,-1.0,0.75,-1.0
scaffold-21-1,20,7.692,10.0,-1.0,0.75,-1.0
scaffold-21-2,2,133.333,10.15,-1.0,0.75,0.15
scaffold-21-2,4,114.103,10.15,-1.0,0.75,0.15
scaffold-21-2,6,91.026,10.15,-1.0,0.75,0.15
scaffold-21-2,8,71.795,10.15,-1.0,0.75,0.15
scaffold-21-2,14,13.462,10.15,-1.0,0.75,0.15
scaffold-21-2,20,7.692,10.15,-1.0,0.75,0.15
scaffold-22,2,107.386,10.0,1.0,0.1,-1.0
scaffold-22,3,103.125,10.0,1.0,0.1,-1.0
scaffold-22,5,77.131,10.0,1.0,0.1,-1.0
scaffold-22,7,50.71,10.0,1.0,0.1,-1.0
scaffold-22,9,27.273,10.0,1.0,0.1,-1.0
scaffold-23,1,61.574,10.0,1.0,0.25,-1.0
scaffold-23,2,188.773,10.0,1.0,0.25,-1.0
scaffold-23,3,323.264,10.0,1.0,0.25,-1.0
scaffold-23,4,307.06,10.0,1.0,0.25,-1.0
scaffold-23,5,280.324,10.0,1.0,0.25,-1.0
scaffold-23,6,225.231,10.0,1.0,0.25,-1.0
scaffold-23,7,214.699,10.0,1.0,0.25,-1.0
scaffold-25,6,40.274,1.0,1.0,0.8,-1.0
scaffold-25,8,40.274,1.0,1.0,0.8,-1.0
scaffold-25,10,42.0,1.0,1.0,0.8,-1.0
scaffold-25,12,39.699,1.0,1.0,0.8,-1.0
scaffold-25,14,40.849,1.0,1.0,0.8,-1.0
scaffold-25,16,35.671,1.0,1.0,0.8,-1.0
scaffold-25,18,30.493,1.0,1.0,0.8,-1.0
scaffold-25,20,35.096,1.0,1.0,0.8,-1.0
scaffold-25,22,24.164,1.0,1.0,0.8,-1.0
scaffold-25,24,27.616,1.0,1.0,0.8,-1.0
scaffold-25,26,23.589,1.0,1.0,0.8,-1.0
scaffold-25,28,18.411,1.0,1.0,0.8,-1.0
spheroid-1-1,4,149.961,8.0,1.0,0.6,-1.0
spheroid-1-1,7,106.424,8.0,1.0,0.6,-1.0
spheroid-1-2,4,11.574,6.0,1.0,0.72,-1.0
spheroid-1-2,7,16.718,6.0,1.0,0.72,-1.0
spheroid-2,18,86.331,19.0,1.0,0.02,-1.0
spheroid-2,21,189.928,19.0,1.0,0.02,-1.0
spheroid-2,24,241.727,19.0,1.0,0.02,-1.0
spheroid-2,27,241.727,19.0,1.0,0.02,-1.0
spheroid-6,2,57.091,8.0,1.0,0.18,-1.0
