Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Material,Material-1-Con,Material-2-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Self-circulated,Multi-organ,Medium,Medium-out,Serum-out,Medium-in,Serum-in,Shear Stress,Flow Rate,Channel Width,Physical-sti,Channel Material,Biochemical-sti
2-μTP,3,0.414,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.1,-1,1,1
3-chip,1,34.95,10,10,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.5,0.2,-1,1,-1
4-biochip,2,6.365,8,0.2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,4,1,-1,-1,,25,0.22,-1,1,-1
7-OrganoPlate,1,5.961,1,15,15,5,0.226,-1,-1,-1,-1,,1,2,1,2,1,-1,-1,,1.18,0.22,-1,3,-1
12-HepG2,2,0.813,4,5,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,1,-1,-1,0.01,1,0.05,-1,1,-1
13-0,1,50.056,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,0,0.2,-1,1,-1
15-Zone1,2,16.771,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.25,6,1,1,-1
16-PFPE,2,0.214,27,0.5,-1,-1,-1,-1,-1,-1,-1,-1,,2,1,1,1,-1,-1,,25,0.52,-1,4,-1
2-μTP,3,,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.0733,-1,1,1
2-μTP,3,,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.0845,-1,1,1
2-μTP,3,,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.1975,-1,1,1
2-μTP,3,,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.2536,-1,1,1
2-μTP,3,,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.1268,-1,1,1
3-chip,1,,10,10,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.5,0.1,-1,1,-1
3-chip,1,,10,10,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.5,0.05,-1,1,-1
3-chip,1,,10,10,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.5,0.52,-1,1,-1
4-biochip,2,,8,0.2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,4,1,-1,-1,,25,0.1,-1,1,-1
4-biochip,2,,8,0.2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,4,1,-1,-1,,25,0.05,-1,1,-1
4-biochip,2,,8,0.2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,4,1,-1,-1,,25,0.52,-1,1,-1
7-OrganoPlate,1,,1,15,15,5,0.226,-1,-1,-1,-1,,1,2,1,2,1,-1,-1,,1.18,0.1,-1,3,-1
7-OrganoPlate,1,,1,15,15,5,0.226,-1,-1,-1,-1,,1,2,1,2,1,-1,-1,,1.18,0.05,-1,3,-1
7-OrganoPlate,1,,1,15,15,5,0.226,-1,-1,-1,-1,,1,2,1,2,1,-1,-1,,1.18,0.52,-1,3,-1
12-HepG2,2,,4,5,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,1,-1,-1,0.01,1,0.1,-1,1,-1
12-HepG2,2,,4,5,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,1,-1,-1,0.01,1,0.2,-1,1,-1
12-HepG2,2,,4,5,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,1,-1,-1,0.01,1,0.52,-1,1,-1
13-0,1,,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,0,0.1,-1,1,-1
13-0,1,,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,0,0.05,-1,1,-1
13-0,1,,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,0,0.52,-1,1,-1
15-Zone1,2,,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.25,5,1,1,-1
15-Zone1,2,,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.25,4,1,1,-1
15-Zone1,2,,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.25,3,1,1,-1
16-PFPE,2,,27,0.5,-1,-1,-1,-1,-1,-1,-1,-1,,2,1,1,1,-1,-1,,25,0.1,-1,4,-1
16-PFPE,2,,27,0.5,-1,-1,-1,-1,-1,-1,-1,-1,,2,1,1,1,-1,-1,,25,0.2,-1,4,-1
16-PFPE,2,,27,0.5,-1,-1,-1,-1,-1,-1,-1,-1,,2,1,1,1,-1,-1,,25,0.05,-1,4,-1
