Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Material,Material-1-Con,Material-2-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Self-circulated,Multi-organ,Medium,Medium-out,Serum-out,Medium-in,Serum-in,Shear Stress,Flow Rate,Channel Width,Physical-sti,Channel Material,Biochemical-sti
1-spheroid,3,400,27,1.14,1.14,22,7.9,,15,81.8,-1,,2,2,1,2,1,-1,-1,,3.33,,-1,1.2,-1
1-spheroid,5,740,27,1.14,1.14,22,7.9,,15,81.8,-1,,2,2,1,2,1,-1,-1,,3.33,,-1,1.2,-1
1-spheroid,7,690,27,1.14,1.14,22,7.9,,15,81.8,-1,,2,2,1,2,1,-1,-1,,3.33,,-1,1.2,-1
2-μTP,3,0.414,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.1,-1,1,1
2-μTP,5,0.418,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.1,-1,1,1
2-μTP,7,0.439,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.1,-1,1,1
2-μTP,10,0.364,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.1,-1,1,1
2-μTP,14,0.376,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.1,-1,1,1
3-chip,1,34.95,10,10,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.5,0.2,-1,1,-1
3-chip,2,25.373,10,10,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.5,0.2,-1,1,-1
3-chip,3,22.637,10,10,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.5,0.2,-1,1,-1
4-biochip,2,6.365,8,0.2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,4,1,-1,-1,,25,0.22,-1,1,-1
4-biochip,5,23.609,8,0.2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,4,1,-1,-1,,25,0.22,-1,1,-1
4-biochip,9,4.835,8,0.2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,4,1,-1,-1,,25,0.22,-1,1,-1
4-biochip,13,8.299,8,0.2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,4,1,-1,-1,,25,0.22,-1,1,-1
5-Dynamic co,3,480.848,8.24,1,0.25,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,-1,-1,,1500,,-1,2,-1
5-Dynamic co,7,33.067,8.24,1,0.25,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,-1,-1,,1500,,-1,2,-1
5-Dynamic mo,3,419.788,8,1,0.25,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,-1,-1,,1500,,-1,2,-1
5-Dynamic mo,7,28.8,8,1,0.25,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,-1,-1,,1500,,-1,2,-1
6-chip,3,9.495,8,0.375,-1,37,,-1,1,,-1,,1,2,1,3,-1,-1,-1,,0.06,,-1,,-1
6-chip,5,14.141,8,0.375,-1,37,,-1,1,,-1,,1,2,1,3,-1,-1,-1,,0.06,,-1,,-1
6-chip,7,17.172,8,0.375,-1,37,,-1,1,,-1,,1,2,1,3,-1,-1,-1,,0.06,,-1,,-1
6-chip,10,16.162,8,0.375,-1,37,,-1,1,,-1,,1,2,1,3,-1,-1,-1,,0.06,,-1,,-1
6-chip,12,22.424,8,0.375,-1,37,,-1,1,,-1,,1,2,1,3,-1,-1,-1,,0.06,,-1,,-1
6-chip,14,47.677,8,0.375,-1,37,,-1,1,,-1,,1,2,1,3,-1,-1,-1,,0.06,,-1,,-1
6-chip,17,10.101,8,0.375,-1,37,,-1,1,,-1,,1,2,1,3,-1,-1,-1,,0.06,,-1,,-1
6-chip,19,23.03,8,0.375,-1,37,,-1,1,,-1,,1,2,1,3,-1,-1,-1,,0.06,,-1,,-1
7-OrganoPlate,1,5.961,1,15,15,5,0.226,-1,-1,-1,-1,,1,2,1,2,1,-1,-1,,1.18,0.22,-1,3,-1
7-OrganoPlate,5,22.62,1,15,15,5,0.226,-1,-1,-1,-1,,1,2,1,2,1,-1,-1,,1.18,0.22,-1,3,-1
7-OrganoPlate,9,23.079,1,15,15,5,0.226,-1,-1,-1,-1,,1,2,1,2,1,-1,-1,,1.18,0.22,-1,3,-1
7-OrganoPlate,14,13.144,1,15,15,5,0.226,-1,-1,-1,-1,,1,2,1,2,1,-1,-1,,1.18,0.22,-1,3,-1
10-3D control-PHH,1,5.76,8,2.75,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D control-PHH,2,6.74,8,2.75,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D control-PHH,3,14.583,8,2.75,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D control-PHH,4,11.765,8,2.75,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D control-PHH,5,10.662,8,2.75,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D control-PHH,6,14.338,8,2.75,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D control-PHH,7,15.931,8,2.75,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D control-PHH,8,16.789,8,2.75,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D control-PHH,9,14.828,8,2.75,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
