Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Material,Material-1-Con,Material-2-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Self-circulated,Multi-organ,Medium,Medium-out,Serum-out,Medium-in,Serum-in,Shear Stress,Flow Rate,Channel Width,Physical-sti,Channel Material,Biochemical-sti
2-μTP,3,26.983,4.0,0.14,-1.0,9.0,8.0,-1.0,-1,-1,-1,,2.0,2,1,1.0,1.0,-1,-1,,5.0,0.1,-1.0,1.0,1
2-μTP,5,105.728,4.0,0.14,-1.0,9.0,8.0,-1.0,-1,-1,-1,,2.0,2,1,1.0,1.0,-1,-1,,5.0,0.1,-1.0,1.0,1
2-μTP,7,69.384,4.0,0.14,-1.0,9.0,8.0,-1.0,-1,-1,-1,,2.0,2,1,1.0,1.0,-1,-1,,5.0,0.1,-1.0,1.0,1
2-μTP,10,68.283,4.0,0.14,-1.0,9.0,8.0,-1.0,-1,-1,-1,,2.0,2,1,1.0,1.0,-1,-1,,5.0,0.1,-1.0,1.0,1
2-μTP,14,41.851,4.0,0.14,-1.0,9.0,8.0,-1.0,-1,-1,-1,,2.0,2,1,1.0,1.0,-1,-1,,5.0,0.1,-1.0,1.0,1
3-chip,1,21.043,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,2.0,2,1,3.0,1.0,-1,-1,,0.5,0.2,-1.0,1.0,-1
3-chip,2,13.379,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,2.0,2,1,3.0,1.0,-1,-1,,0.5,0.2,-1.0,1.0,-1
3-chip,3,12.877,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,2.0,2,1,3.0,1.0,-1,-1,,0.5,0.2,-1.0,1.0,-1
4-biochip,2,5133.69,8.0,0.2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,1.0,2,1,4.0,1.0,-1,-1,,25.0,0.22,-1.0,1.0,-1
4-biochip,5,6648.128,8.0,0.2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,1.0,2,1,4.0,1.0,-1,-1,,25.0,0.22,-1.0,1.0,-1
