Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Co-Cell Seeding-2,Scaffold,Scaffold-1-Con,Scaffold-2-Con,Scaffold-3-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Pore Size,Thick,Diameter,Porosity,Water uptake ratio,Young,Flow Rate,Fabrication,Fabr-para1,Fabr-para2,Fabr-para3
1-PLGA,2,7.641,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,,27.5,3.0,6.0,95.9,,,0,1.0,0.5,20.0,13.4
1-PLGA,7,2.413,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,,27.5,3.0,6.0,95.9,,,0,1.0,0.5,20.0,13.4
1-PLGA,11,4.021,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,,27.5,3.0,6.0,95.9,,,0,1.0,0.5,20.0,13.4
1-PLGA,14,3.217,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,,27.5,3.0,6.0,95.9,,,0,1.0,0.5,20.0,13.4
1-PLGA-Chigh,2,24.665,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,1.0,0.008,-1.0,,26.7,3.0,6.0,95.9,,,0,1.0,0.5,20.0,13.4
1-PLGA-Chigh,7,24.665,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,1.0,0.008,-1.0,,26.7,3.0,6.0,95.9,,,0,1.0,0.5,20.0,13.4
1-PLGA-Chigh,11,26.273,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,1.0,0.008,-1.0,,26.7,3.0,6.0,95.9,,,0,1.0,0.5,20.0,13.4
1-PLGA-Chigh,14,34.987,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,1.0,0.008,-1.0,,26.7,3.0,6.0,95.9,,,0,1.0,0.5,20.0,13.4
1-PLGA-Clow,2,11.394,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,1.0,0.004,-1.0,,29.1,3.0,6.0,94.0,,,0,1.0,0.5,20.0,13.4
1-PLGA-Clow,7,6.032,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,1.0,0.004,-1.0,,29.1,3.0,6.0,94.0,,,0,1.0,0.5,20.0,13.4
1-PLGA-Clow,11,13.673,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,1.0,0.004,-1.0,,29.1,3.0,6.0,94.0,,,0,1.0,0.5,20.0,13.4
1-PLGA-Clow,14,16.086,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,1.0,0.004,-1.0,,29.1,3.0,6.0,94.0,,,0,1.0,0.5,20.0,13.4
1-PLGA-Fhigh,2,12.735,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,2.0,0.004,-1.0,,30.0,3.0,6.0,95.6,,,0,1.0,0.5,20.0,13.4
1-PLGA-Fhigh,7,7.373,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,2.0,0.004,-1.0,,30.0,3.0,6.0,95.6,,,0,1.0,0.5,20.0,13.4
1-PLGA-Fhigh,11,4.826,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,2.0,0.004,-1.0,,30.0,3.0,6.0,95.6,,,0,1.0,0.5,20.0,13.4
1-PLGA-Fhigh,14,14.745,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,2.0,0.004,-1.0,,30.0,3.0,6.0,95.6,,,0,1.0,0.5,20.0,13.4
1-PLGA-Flow,2,11.126,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,2.0,0.002,-1.0,,28.4,3.0,6.0,96.0,,,0,1.0,0.5,20.0,13.4
1-PLGA-Flow,7,11.796,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,2.0,0.002,-1.0,,28.4,3.0,6.0,96.0,,,0,1.0,0.5,20.0,13.4
1-PLGA-Flow,11,15.684,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,2.0,0.002,-1.0,,28.4,3.0,6.0,96.0,,,0,1.0,0.5,20.0,13.4
1-PLGA-Flow,14,16.22,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,2.0,0.002,-1.0,,28.4,3.0,6.0,96.0,,,0,1.0,0.5,20.0,13.4
2-perfused,1,58.065,8.0,40.0,-1.0,-1.0,3.0,,-1.0,-1.0,1.0,,-1.0,,3.0,0.2,0.3,,,,25,8.0,187.0,6.0,25.0
2-perfused,2,37.097,8.0,40.0,-1.0,-1.0,3.0,,-1.0,-1.0,1.0,,-1.0,,3.0,0.2,0.3,,,,25,8.0,187.0,6.0,25.0
2-perfused,3,48.387,8.0,40.0,-1.0,-1.0,3.0,,-1.0,-1.0,1.0,,-1.0,,3.0,0.2,0.3,,,,25,8.0,187.0,6.0,25.0
2-perfused,4,68.548,8.0,40.0,-1.0,-1.0,3.0,,-1.0,-1.0,1.0,,-1.0,,3.0,0.2,0.3,,,,25,8.0,187.0,6.0,25.0
2-static,1,106.349,8.0,40.0,-1.0,-1.0,3.0,,-1.0,-1.0,1.0,,-1.0,,3.0,0.2,0.3,,,,0,8.0,187.0,6.0,25.0
2-static,2,84.127,8.0,40.0,-1.0,-1.0,3.0,,-1.0,-1.0,1.0,,-1.0,,3.0,0.2,0.3,,,,0,8.0,187.0,6.0,25.0
2-static,3,69.841,8.0,40.0,-1.0,-1.0,3.0,,-1.0,-1.0,1.0,,-1.0,,3.0,0.2,0.3,,,,0,8.0,187.0,6.0,25.0
2-static,4,253.175,8.0,40.0,-1.0,-1.0,3.0,,-1.0,-1.0,1.0,,-1.0,,3.0,0.2,0.3,,,,0,8.0,187.0,6.0,25.0
3-PLLA Scaffold,1,0.535,1.0,50.0,-1.0,-1.0,1.0,,-1.0,-1.0,4.1,64.8,0.05,,,0.5,8.0,,,,0,3.2,,0.05,80.0
