Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Co-Cell Seeding-2,Scaffold,Scaffold-1-Con,Scaffold-2-Con,Scaffold-3-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Pore Size,Thick,Diameter,Porosity,Water uptake ratio,Young,Flow Rate,Design,Desi-para1,Desi-para2,Desi-para3
1-PLGA,2,7.641,8,10,-1,-1,12,8,-1,-1,-1,-1,-1,,27.5,3,6,95.9,,,0,1,0.5,20,13.4
1-PLGA,7,2.413,8,10,-1,-1,12,8,-1,-1,-1,-1,-1,,27.5,3,6,95.9,,,0,1,0.5,20,13.4
1-PLGA,11,4.021,8,10,-1,-1,12,8,-1,-1,-1,-1,-1,,27.5,3,6,95.9,,,0,1,0.5,20,13.4
1-PLGA,14,3.217,8,10,-1,-1,12,8,-1,-1,-1,-1,-1,,27.5,3,6,95.9,,,0,1,0.5,20,13.4
1-PLGA-Chigh,2,24.665,8,10,-1,-1,12,8,-1,-1,1,0.008,-1,,26.7,3,6,95.9,,,0,1,0.5,20,13.4
1-PLGA-Chigh,7,24.665,8,10,-1,-1,12,8,-1,-1,1,0.008,-1,,26.7,3,6,95.9,,,0,1,0.5,20,13.4
1-PLGA-Chigh,11,26.273,8,10,-1,-1,12,8,-1,-1,1,0.008,-1,,26.7,3,6,95.9,,,0,1,0.5,20,13.4
1-PLGA-Chigh,14,34.987,8,10,-1,-1,12,8,-1,-1,1,0.008,-1,,26.7,3,6,95.9,,,0,1,0.5,20,13.4
1-PLGA-Clow,2,11.394,8,10,-1,-1,12,8,-1,-1,1,0.004,-1,,29.1,3,6,94,,,0,1,0.5,20,13.4
1-PLGA-Clow,7,6.032,8,10,-1,-1,12,8,-1,-1,1,0.004,-1,,29.1,3,6,94,,,0,1,0.5,20,13.4
1-PLGA-Clow,11,13.673,8,10,-1,-1,12,8,-1,-1,1,0.004,-1,,29.1,3,6,94,,,0,1,0.5,20,13.4
1-PLGA-Clow,14,16.086,8,10,-1,-1,12,8,-1,-1,1,0.004,-1,,29.1,3,6,94,,,0,1,0.5,20,13.4
1-PLGA-Fhigh,2,12.735,8,10,-1,-1,12,8,-1,-1,2,0.004,-1,,30,3,6,95.6,,,0,1,0.5,20,13.4
1-PLGA-Fhigh,7,7.373,8,10,-1,-1,12,8,-1,-1,2,0.004,-1,,30,3,6,95.6,,,0,1,0.5,20,13.4
1-PLGA-Fhigh,11,4.826,8,10,-1,-1,12,8,-1,-1,2,0.004,-1,,30,3,6,95.6,,,0,1,0.5,20,13.4
1-PLGA-Fhigh,14,14.745,8,10,-1,-1,12,8,-1,-1,2,0.004,-1,,30,3,6,95.6,,,0,1,0.5,20,13.4
1-PLGA-Flow,2,11.126,8,10,-1,-1,12,8,-1,-1,2,0.002,-1,,28.4,3,6,96,,,0,1,0.5,20,13.4
1-PLGA-Flow,7,11.796,8,10,-1,-1,12,8,-1,-1,2,0.002,-1,,28.4,3,6,96,,,0,1,0.5,20,13.4
1-PLGA-Flow,11,15.684,8,10,-1,-1,12,8,-1,-1,2,0.002,-1,,28.4,3,6,96,,,0,1,0.5,20,13.4
1-PLGA-Flow,14,16.22,8,10,-1,-1,12,8,-1,-1,2,0.002,-1,,28.4,3,6,96,,,0,1,0.5,20,13.4
2-perfused,1,58.065,8,40,-1,-1,3,,-1,-1,1,,-1,,3,0.2,0.3,,,,25,8,187,6,25
2-perfused,2,37.097,8,40,-1,-1,3,,-1,-1,1,,-1,,3,0.2,0.3,,,,25,8,187,6,25
2-perfused,3,48.387,8,40,-1,-1,3,,-1,-1,1,,-1,,3,0.2,0.3,,,,25,8,187,6,25
2-perfused,4,68.548,8,40,-1,-1,3,,-1,-1,1,,-1,,3,0.2,0.3,,,,25,8,187,6,25
2-static,1,106.349,8,40,-1,-1,3,,-1,-1,1,,-1,,3,0.2,0.3,,,,0,8,187,6,25
2-static,2,84.127,8,40,-1,-1,3,,-1,-1,1,,-1,,3,0.2,0.3,,,,0,8,187,6,25
2-static,3,69.841,8,40,-1,-1,3,,-1,-1,1,,-1,,3,0.2,0.3,,,,0,8,187,6,25
2-static,4,253.175,8,40,-1,-1,3,,-1,-1,1,,-1,,3,0.2,0.3,,,,0,8,187,6,25
3-PLLA Scaffold,1,0.535,1,50,-1,-1,1,,-1,-1,4.1,64.8,0.05,,,0.5,8,,,,0,3.2,,0.05,80
3-PLLA Scaffold,3,2.569,1,50,-1,-1,1,,-1,-1,4.1,64.8,0.05,,,0.5,8,,,,0,3.2,,0.05,80
3-PLLA Scaffold,7,3.104,1,50,-1,-1,1,,-1,-1,4.1,64.8,0.05,,,0.5,8,,,,0,3.2,,0.05,80
3-PLLA Scaffold,14,2.141,1,50,-1,-1,1,,-1,-1,4.1,64.8,0.05,,,0.5,8,,,,0,3.2,,0.05,80
3-dECM Scaffold,1,0.474,1,50,-1,-1,2,-1,-1,-1,-1,-1,-1,,,0.5,8,,,,0,6,1,235,1.2
3-dECM Scaffold,3,2.844,1,50,-1,-1,2,-1,-1,-1,-1,-1,-1,,,0.5,8,,,,0,6,1,235,1.2
3-dECM Scaffold,7,3.639,1,50,-1,-1,2,-1,-1,-1,-1,-1,-1,,,0.5,8,,,,0,6,1,235,1.2
3-dECM Scaffold,14,2.248,1,50,-1,-1,2,-1,-1,-1,-1,-1,-1,,,0.5,8,,,,0,6,1,235,1.2
4-static,4,33.962,2,2.4,-1,-1,12,3,-1,-1,1,0.83,-1,,250,3,10,85,,,0,2,0.83,20,2
4-static,8,61.132,2,2.4,-1,-1,12,3,-1,-1,1,0.83,-1,,250,3,10,85,,,0,2,0.83,20,2
4-static,12,153.962,2,2.4,-1,-1,12,3,-1,-1,1,0.83,-1,,250,3,10,85,,,0,2,0.83,20,2
4-static,16,328.302,2,2.4,-1,-1,12,3,-1,-1,1,0.83,-1,,250,3,10,85,,,0,2,0.83,20,2
4-static,22,364.528,2,2.4,-1,-1,12,3,-1,-1,1,0.83,-1,,250,3,10,85,,,0,2,0.83,20,2
4-dynamic,4,43.019,2,2.4,-1,-1,12,3,-1,-1,1,0.83,-1,,250,3,10,85,,,200,2,0.83,20,2
4-dynamic,8,88.302,2,2.4,-1,-1,12,3,-1,-1,1,0.83,-1,,250,3,10,85,,,200,2,0.83,20,2
4-dynamic,12,230.943,2,2.4,-1,-1,12,3,-1,-1,1,0.83,-1,,250,3,10,85,,,200,2,0.83,20,2
4-dynamic,16,432.453,2,2.4,-1,-1,12,3,-1,-1,1,0.83,-1,,250,3,10,85,,,200,2,0.83,20,2
4-dynamic,22,509.434,2,2.4,-1,-1,12,3,-1,-1,1,0.83,-1,,250,3,10,85,,,200,2,0.83,20,2
5-PET,3,0.298,3,0.052,-1,-1,4,,-1,-1,-1,-1,-1,,,0.36,0.0115,81.8,314.56,849206,0,,,,
5-PET,6,0.339,3,0.052,-1,-1,4,,-1,-1,-1,-1,-1,,,0.36,0.0115,81.8,314.56,849206,0,,,,
5-PET,9,0.364,3,0.052,-1,-1,4,,-1,-1,-1,-1,-1,,,0.36,0.0115,81.8,314.56,849206,0,,,,
5-PET,12,0.323,3,0.052,-1,-1,4,,-1,-1,-1,-1,-1,,,0.36,0.0115,81.8,314.56,849206,0,,,,
5-PET,15,0.295,3,0.052,-1,-1,4,,-1,-1,-1,-1,-1,,,0.36,0.0115,81.8,314.56,849206,0,,,,
5-PET-AAc,3,0.306,3,0.052,-1,-1,4,,-1,-1,9,,-1,,,0.36,0.0115,84.1,500.97,583333,0,,,,
5-PET-AAc,6,0.345,3,0.052,-1,-1,4,,-1,-1,9,,-1,,,0.36,0.0115,84.1,500.97,583333,0,,,,
5-PET-AAc,9,0.386,3,0.052,-1,-1,4,,-1,-1,9,,-1,,,0.36,0.0115,84.1,500.97,583333,0,,,,
5-PET-AAc,12,0.336,3,0.052,-1,-1,4,,-1,-1,9,,-1,,,0.36,0.0115,84.1,500.97,583333,0,,,,
5-PET-AAc,15,0.295,3,0.052,-1,-1,4,,-1,-1,9,,-1,,,0.36,0.0115,84.1,500.97,583333,0,,,,
5-PET-Gal,3,0.399,3,0.052,-1,-1,4,,-1,-1,9.11,,,,,0.36,0.0115,82.3,499.51,1634920,0,,,,
5-PET-Gal,6,0.613,3,0.052,-1,-1,4,,-1,-1,9.11,,,,,0.36,0.0115,82.3,499.51,1634920,0,,,,
5-PET-Gal,9,0.867,3,0.052,-1,-1,4,,-1,-1,9.11,,,,,0.36,0.0115,82.3,499.51,1634920,0,,,,
5-PET-Gal,12,0.848,3,0.052,-1,-1,4,,-1,-1,9.11,,,,,0.36,0.0115,82.3,499.51,1634920,0,,,,
5-PET-Gal,15,0.864,3,0.052,-1,-1,4,,-1,-1,9.11,,,,,0.36,0.0115,82.3,499.51,1634920,0,,,,
5-PET-Gel,3,0.397,3,0.052,-1,-1,4,,-1,-1,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698,0,,,,
5-PET-Gel,6,0.588,3,0.052,-1,-1,4,,-1,-1,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698,0,,,,
5-PET-Gel,9,0.594,3,0.052,-1,-1,4,,-1,-1,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698,0,,,,
5-PET-Gel,12,0.55,3,0.052,-1,-1,4,,-1,-1,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698,0,,,,
5-PET-Gel,15,0.471,3,0.052,-1,-1,4,,-1,-1,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698,0,,,,
6-MePS,1,2.348,8,0.7,-1,-1,14,,-1,-1,1,0.008,-1,,0.142,1.3,6.9,16,,310,164,8,1,1,750
6-MePS,3,5.655,8,0.7,-1,-1,14,,-1,-1,1,0.008,-1,,0.142,1.3,6.9,16,,310,164,8,1,1,750
6-MePS,5,13.917,8,0.7,-1,-1,14,,-1,-1,1,0.008,-1,,0.142,1.3,6.9,16,,310,164,8,1,1,750
