Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Co-Cell Seeding-2,Scaffold,Scaffold-1-Con,Scaffold-2-Con,Scaffold-3-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Pore Size,Thick,Diameter,Porosity,Water uptake ratio,Young,Flow Rate,Fabrication,Fabr-para1,Fabr-para2,Fabr-para3
1-PLGA,2,27.959,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,,27.5,3.0,6.0,95.9,,,0,1.0,0.5,20.0,13.4
1-PLGA,7,20.0,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,,27.5,3.0,6.0,95.9,,,0,1.0,0.5,20.0,13.4
1-PLGA,11,21.429,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,,27.5,3.0,6.0,95.9,,,0,1.0,0.5,20.0,13.4
1-PLGA,14,12.653,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,,27.5,3.0,6.0,95.9,,,0,1.0,0.5,20.0,13.4
1-PLGA-Chigh,2,26.735,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,1.0,0.008,-1.0,,26.7,3.0,6.0,95.9,,,0,1.0,0.5,20.0,13.4
1-PLGA-Chigh,7,38.163,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,1.0,0.008,-1.0,,26.7,3.0,6.0,95.9,,,0,1.0,0.5,20.0,13.4
1-PLGA-Chigh,11,40.816,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,1.0,0.008,-1.0,,26.7,3.0,6.0,95.9,,,0,1.0,0.5,20.0,13.4
1-PLGA-Chigh,14,49.796,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,1.0,0.008,-1.0,,26.7,3.0,6.0,95.9,,,0,1.0,0.5,20.0,13.4
1-PLGA-Clow,2,24.898,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,1.0,0.004,-1.0,,29.1,3.0,6.0,94.0,,,0,1.0,0.5,20.0,13.4
1-PLGA-Clow,7,34.694,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,1.0,0.004,-1.0,,29.1,3.0,6.0,94.0,,,0,1.0,0.5,20.0,13.4
1-PLGA-Clow,11,37.347,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,1.0,0.004,-1.0,,29.1,3.0,6.0,94.0,,,0,1.0,0.5,20.0,13.4
1-PLGA-Clow,14,36.735,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,1.0,0.004,-1.0,,29.1,3.0,6.0,94.0,,,0,1.0,0.5,20.0,13.4
1-PLGA-Fhigh,2,26.531,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,2.0,0.004,-1.0,,30.0,3.0,6.0,95.6,,,0,1.0,0.5,20.0,13.4
1-PLGA-Fhigh,7,37.143,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,2.0,0.004,-1.0,,30.0,3.0,6.0,95.6,,,0,1.0,0.5,20.0,13.4
1-PLGA-Fhigh,11,35.51,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,2.0,0.004,-1.0,,30.0,3.0,6.0,95.6,,,0,1.0,0.5,20.0,13.4
1-PLGA-Fhigh,14,36.531,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,2.0,0.004,-1.0,,30.0,3.0,6.0,95.6,,,0,1.0,0.5,20.0,13.4
1-PLGA-Flow,2,26.939,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,2.0,0.002,-1.0,,28.4,3.0,6.0,96.0,,,0,1.0,0.5,20.0,13.4
1-PLGA-Flow,7,34.694,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,2.0,0.002,-1.0,,28.4,3.0,6.0,96.0,,,0,1.0,0.5,20.0,13.4
1-PLGA-Flow,11,34.694,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,2.0,0.002,-1.0,,28.4,3.0,6.0,96.0,,,0,1.0,0.5,20.0,13.4
1-PLGA-Flow,14,24.49,8.0,10.0,-1.0,-1.0,12.0,8.0,-1.0,-1.0,2.0,0.002,-1.0,,28.4,3.0,6.0,96.0,,,0,1.0,0.5,20.0,13.4
4-static,6,0.302,2.0,2.4,-1.0,-1.0,12.0,3.0,-1.0,-1.0,1.0,0.83,-1.0,,250.0,3.0,10.0,85.0,,,0,2.0,0.83,20.0,2.0
4-static,12,1.691,2.0,2.4,-1.0,-1.0,12.0,3.0,-1.0,-1.0,1.0,0.83,-1.0,,250.0,3.0,10.0,85.0,,,0,2.0,0.83,20.0,2.0
4-static,18,3.381,2.0,2.4,-1.0,-1.0,12.0,3.0,-1.0,-1.0,1.0,0.83,-1.0,,250.0,3.0,10.0,85.0,,,0,2.0,0.83,20.0,2.0
4-static,22,6.943,2.0,2.4,-1.0,-1.0,12.0,3.0,-1.0,-1.0,1.0,0.83,-1.0,,250.0,3.0,10.0,85.0,,,0,2.0,0.83,20.0,2.0
4-dynamic,6,0.302,2.0,2.4,-1.0,-1.0,12.0,3.0,-1.0,-1.0,1.0,0.83,-1.0,,250.0,3.0,10.0,85.0,,,200,2.0,0.83,20.0,2.0
4-dynamic,12,3.079,2.0,2.4,-1.0,-1.0,12.0,3.0,-1.0,-1.0,1.0,0.83,-1.0,,250.0,3.0,10.0,85.0,,,200,2.0,0.83,20.0,2.0
4-dynamic,18,7.608,2.0,2.4,-1.0,-1.0,12.0,3.0,-1.0,-1.0,1.0,0.83,-1.0,,250.0,3.0,10.0,85.0,,,200,2.0,0.83,20.0,2.0
4-dynamic,22,12.498,2.0,2.4,-1.0,-1.0,12.0,3.0,-1.0,-1.0,1.0,0.83,-1.0,,250.0,3.0,10.0,85.0,,,200,2.0,0.83,20.0,2.0
5-PET,3,1987.73,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,0.36,0.0115,81.8,314.56,849206.0,0,,,,
5-PET,6,2134.969,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,0.36,0.0115,81.8,314.56,849206.0,0,,,,
5-PET,9,2547.239,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,0.36,0.0115,81.8,314.56,849206.0,0,,,,
5-PET,12,2488.344,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,0.36,0.0115,81.8,314.56,849206.0,0,,,,
5-PET,15,2341.104,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,-1.0,-1.0,-1.0,,,0.36,0.0115,81.8,314.56,849206.0,0,,,,
5-PET-AAc,3,2046.626,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.0,,-1.0,,,0.36,0.0115,84.1,500.97,583333.0,0,,,,
5-PET-AAc,6,2179.141,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.0,,-1.0,,,0.36,0.0115,84.1,500.97,583333.0,0,,,,
5-PET-AAc,9,2503.067,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.0,,-1.0,,,0.36,0.0115,84.1,500.97,583333.0,0,,,,
5-PET-AAc,12,2414.724,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.0,,-1.0,,,0.36,0.0115,84.1,500.97,583333.0,0,,,,
5-PET-AAc,15,2414.724,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.0,,-1.0,,,0.36,0.0115,84.1,500.97,583333.0,0,,,,
5-PET-Gal,3,2988.957,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.11,,,,,0.36,0.0115,82.3,499.51,1634920.0,0,,,,
5-PET-Gal,6,3548.466,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.11,,,,,0.36,0.0115,82.3,499.51,1634920.0,0,,,,
5-PET-Gal,9,4211.043,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.11,,,,,0.36,0.0115,82.3,499.51,1634920.0,0,,,,
5-PET-Gal,12,4196.319,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.11,,,,,0.36,0.0115,82.3,499.51,1634920.0,0,,,,
5-PET-Gal,15,4211.043,3.0,0.052,-1.0,-1.0,4.0,,-1.0,-1.0,9.11,,,,,0.36,0.0115,82.3,499.51,1634920.0,0,,,,
