Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Spheroid-Dia,Tethered,Tethered Film,Modification,Flow Rate,Self-assembled
1-PHH,4,1330.302,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,7,691.757,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,14,416.022,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-PHH,21,270.898,8.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,4,291.924,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,7,222.479,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,14,273.92,6.0,0.02,-1.0,,2,-1,-1.0,0,1
1-HepaRG,21,196.759,6.0,0.02,-1.0,,2,-1,-1.0,0,1
2-spheroid,18,103.597,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,21,535.252,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,24,474.82,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-spheroid,27,2115.108,19.0,0.025,-1.0,109.5,2,-1,-1.0,0,1
2-bioreactor,18,379.856,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,21,699.281,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,22,526.619,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,23,621.583,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,24,776.978,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,25,811.511,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,26,923.741,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
2-bioreactor,27,1502.158,19.0,80.0,-1.0,109.5,2,-1,6.0,50,1
3-MPCC,3,23.322,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,15,3.209,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-MPCC,27,3.757,6.21,0.1,0.3,,2,-1,-1.0,0,1
3-CC,3,3.757,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,15,2.27,6.0,1.0,-1.0,,2,-1,-1.0,0,1
3-CC,27,4.539,6.0,1.0,-1.0,,2,-1,-1.0,0,1
5-SCS,2,317.109,10.0,0.1,-1.0,,1,3,3.0,0,1
5-SCS,4,199.115,10.0,0.1,-1.0,,1,3,3.0,0,1
5-SCS,6,162.242,10.0,0.1,-1.0,,1,3,3.0,0,1
5-SCS,8,140.118,10.0,0.1,-1.0,,1,3,3.0,0,1
5-PCS,2,1755.162,10.0,0.1,-1.0,,1,3,3.0,30,1
5-PCS,4,560.472,10.0,0.1,-1.0,,1,3,3.0,30,1
5-PCS,6,907.08,10.0,0.1,-1.0,,1,3,3.0,30,1
5-PCS,8,597.345,10.0,0.1,-1.0,,1,3,3.0,30,1
6-spheroid,2,56.0,8.0,0.18,-1.0,100.0,1,1,2.0,0,1
6-spheroid,3,50.909,8.0,0.18,-1.0,100.0,1,1,2.0,0,1
6-spheroid,5,44.364,8.0,0.18,-1.0,100.0,1,1,2.0,0,1
7-PET,1,268.718,10.0,0.1,-1.0,125.47,1,1,2.0,0,1
7-PET,3,186.154,10.0,0.1,-1.0,125.47,1,1,2.0,0,1
7-PET,5,304.103,10.0,0.1,-1.0,125.47,1,1,2.0,0,1
7-PET,7,339.487,10.0,0.1,-1.0,125.47,1,1,2.0,0,1
7-PS,1,197.949,10.0,0.1,-1.0,125.47,1,2,1.0,0,1
7-PS,3,115.385,10.0,0.1,-1.0,125.47,1,2,1.0,0,1
7-PS,5,256.923,10.0,0.1,-1.0,125.47,1,2,1.0,0,1
7-PS,7,587.179,10.0,0.1,-1.0,125.47,1,2,1.0,0,1
9-donor B,3,881.437,8.0,0.2,-1.0,81.0,2,-1,-1.0,2500,1
9-donor B,4,552.695,8.0,0.2,-1.0,81.0,2,-1,-1.0,2500,1
9-donor B,5,364.072,8.0,0.2,-1.0,81.0,2,-1,-1.0,2500,1
9-donor B,9,434.132,8.0,0.2,-1.0,81.0,2,-1,-1.0,2500,1
9-donor B,10,148.503,8.0,0.2,-1.0,81.0,2,-1,-1.0,2500,1
9-donor B,11,466.467,8.0,0.2,-1.0,81.0,2,-1,-1.0,2500,1
9-donor B,12,342.515,8.0,0.2,-1.0,81.0,2,-1,-1.0,2500,1
11-spheroid,21,52.661,22.0,1.0,-1.0,100.0,2,-1,-1.0,0,1
12-spheroid,7,202.478,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,8,189.735,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,10,177.699,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,11,157.876,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,12,157.168,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,13,184.779,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,14,168.496,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,15,162.124,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,16,157.168,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,18,129.558,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,19,135.929,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,21,174.159,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
12-spheroid,25,178.407,8.0,0.6,-1.0,200.0,2,-1,8.0,800,1
13-5C,1,643.564,8.0,0.015,-1.0,,2,-1,4.0,0,1
13-5C,3,617.162,8.0,0.015,-1.0,,2,-1,4.0,0,1
13-5C,9,693.069,8.0,0.015,-1.0,,2,-1,4.0,0,1
13-5C,12,854.785,8.0,0.015,-1.0,,2,-1,4.0,0,1
13-5C,15,772.277,8.0,0.015,-1.0,,2,-1,4.0,0,1
13-5C,18,755.776,8.0,0.015,-1.0,,2,-1,4.0,0,1
