Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Material,Material-1-Con,Material-2-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Self-circulated,Multi-organ,Medium,Medium-out,Serum-out,Medium-in,Serum-in,Shear Stress,Flow Rate,Channel Width,Physical-sti,Channel Material,Biochemical-sti
1-spheroid,3,400,27,1.14,1.14,22,7.9,,15,81.8,-1,,2,2,1,2,1,-1,-1,,3.33,,-1,1.2,-1
2-μTP,3,0.414,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.1,-1,1,1
3-chip,3,22.637,10,10,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.5,0.2,-1,1,-1
5-Dynamic co,3,480.848,8.24,1,0.25,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,-1,-1,,1500,,-1,2,-1
5-Dynamic mo,3,419.788,8,1,0.25,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,-1,-1,,1500,,-1,2,-1
6-chip,3,9.495,8,0.375,-1,37,,-1,1,,-1,,1,2,1,3,-1,-1,-1,,0.06,,-1,,-1
9-Mono-static,3,1985089.974,,1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,1,-1,-1,,0,4,-1,1,-1
9-Mono-01PEG,3,1497172.237,,1,-1,-1,-1,-1,14,6,-1,-1,2,2,1,2,1,-1,-1,,0.251,4,-1,1,-1
9-Mono-025PEG,3,828791.774,,1,-1,-1,-1,-1,14,15,-1,-1,2,2,1,2,1,-1,-1,,0.628,4,-1,1,-1
9-Sphe-005PEG,3,741902.314,,1,-1,-1,-1,-1,14,3,-1,-1,2,2,1,2,1,-1,-1,,,4,-1,1,-1
9-Sphe-static,3,1189717.224,,1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,1,-1,-1,,0,4,-1,1,-1
10-3D control-PHH,3,14.583,8,2.75,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-PHH,3,13.358,8,2.75,-1,-1,-1,-1,34,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D control-iPSC,3,6.707,1.26,2.75,0.8,-1,-1,-1,-1,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-iPSC,3,5.732,1.26,2.75,0.8,-1,-1,-1,34,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
11-multi-organ,3,4.467,,0.15,0.25,23,,,-1,-1,-1,-1,1,1,2,,,2,1,,20.5,,-1,,-1
12-HepG2,3,0.932,4,5,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,1,-1,-1,0.01,1,0.05,-1,1,-1
16-PFPE,3,0.163,27,0.5,-1,-1,-1,-1,-1,-1,-1,-1,,2,1,1,1,-1,-1,,25,0.52,-1,4,-1
16-PDMS,3,0.159,27,0.5,-1,-1,-1,-1,-1,-1,-1,-1,,2,1,1,1,-1,-1,,25,0.52,-1,1,-1
4-biochip,3,,8,0.2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,4,1,-1,-1,,25,0.22,-1,1,-1
7-OrganoPlate,3,,1,15,15,5,0.226,-1,-1,-1,-1,,1,2,1,2,1,-1,-1,,1.18,0.22,-1,3,-1
12-Static,3,,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,,0,0.05,-1,1,-1
12-Device,3,,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,0.01,1,0.05,-1,1,-1
13-0,3,,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,0,0.2,-1,1,-1
13-25,3,,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,25,0.2,-1,1,-1
13-50,3,,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,50,0.2,-1,1,-1
13-75,3,,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,75,0.2,-1,1,-1
13-100,3,,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,100,0.2,-1,1,-1
14-Static,3,,10,10,-1,5,0.1,-1,-1,-1,-1,,2,2,1,3,-1,-1,-1,,0,,,1,-1
14-Flow,3,,10,10,-1,5,0.1,-1,-1,-1,-1,,2,2,1,3,-1,-1,-1,,0.083,,,1,-1
15-Zone1,3,,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.25,6,1,1,-1
15-Zone3,3,,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.083,6,1,1,-1
17-PIC,3,,10,0.1,-1,-1,-1,-1,-1,-1,-1,,2,2,1,3,,-1,-1,,1.667,,-1,1,-1
