Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Material,Material-1-Con,Material-2-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Self-circulated,Multi-organ,Medium,Medium-out,Serum-out,Medium-in,Serum-in,Shear Stress,Flow Rate,Channel Width,Physical-sti,Channel Material,Biochemical-sti
2-μTP,3,26.983,4,0.14,-1,9,8,-1,-1,-1,-1,,2,2,1,1,1,-1,-1,,5,0.1,-1,1,1
3-chip,3,12.877,10,10,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.5,0.2,-1,1,-1
5-Dynamic co,3,348.551,8.24,1,0.25,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,-1,-1,,1500,,-1,2,-1
5-Dynamic mo,3,195.901,8,1,0.25,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,-1,-1,,1500,,-1,2,-1
9-Mono-static,3,40440.415,,1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,1,-1,-1,,0,4,-1,1,-1
9-Mono-01PEG,3,33005.181,,1,-1,-1,-1,-1,14,6,-1,-1,2,2,1,2,1,-1,-1,,0.251,4,-1,1,-1
9-Mono-025PEG,3,32461.14,,1,-1,-1,-1,-1,14,15,-1,-1,2,2,1,2,1,-1,-1,,0.628,4,-1,1,-1
9-Sphe-005PEG,3,33005.181,,1,-1,-1,-1,-1,14,3,-1,-1,2,2,1,2,1,-1,-1,,,4,-1,1,-1
9-Sphe-static,3,31554.404,,1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,1,-1,-1,,0,4,-1,1,-1
10-3D control-PHH,3,110.294,8,2.75,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-PHH,3,151.961,8,2.75,-1,-1,-1,-1,34,-1,-1,-1,2,2,1,3,1,-1,-1,,0.25,,-1,1,-1
10-3D control-iPSC,3,76.456,1.26,2.75,0.8,-1,-1,-1,-1,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
10-3D terfenadine-iPSC,3,67.961,1.26,2.75,0.8,-1,-1,-1,34,-1,-1,-1,2,2,1,5,-1,-1,-1,,0.25,,-1,1,-1
11-multi-organ,3,182.609,,0.15,0.25,23,,,-1,-1,-1,-1,1,1,2,,,2,1,,20.5,,-1,,-1
12-HepG2,3,50.269,4,5,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,1,-1,-1,0.01,1,0.05,-1,1,-1
16-PFPE,3,23.437,27,0.5,-1,-1,-1,-1,-1,-1,-1,-1,,2,1,1,1,-1,-1,,25,0.52,-1,4,-1
16-PDMS,3,33.633,27,0.5,-1,-1,-1,-1,-1,-1,-1,-1,,2,1,1,1,-1,-1,,25,0.52,-1,1,-1
4-biochip,3,,8,0.2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,4,1,-1,-1,,25,0.22,-1,1,-1
7-OrganoPlate,3,,1,15,15,5,0.226,-1,-1,-1,-1,,1,2,1,2,1,-1,-1,,1.18,0.22,-1,3,-1
12-Static,3,,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,,0,0.05,-1,1,-1
12-Device,3,,1,,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,-1,-1,-1,0.01,1,0.05,-1,1,-1
13-0,3,,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,0,0.2,-1,1,-1
13-25,3,,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,25,0.2,-1,1,-1
13-50,3,,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,50,0.2,-1,1,-1
13-75,3,,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,75,0.2,-1,1,-1
13-100,3,,10,50,-1,10.11,4,4,-1,-1,-1,,2,2,1,,1,-1,-1,,100,0.2,-1,1,-1
14-Static,3,,10,10,-1,5,0.1,-1,-1,-1,-1,,2,2,1,3,-1,-1,-1,,0,,,1,-1
14-Flow,3,,10,10,-1,5,0.1,-1,-1,-1,-1,,2,2,1,3,-1,-1,-1,,0.083,,,1,-1
15-Zone1,3,,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.25,6,1,1,-1
15-Zone3,3,,8.14,2.75,0.4,-1,-1,-1,-1,-1,-1,-1,,2,1,6,1,-1,-1,,0.083,6,1,1,-1
17-PIC,3,,10,0.1,-1,-1,-1,-1,-1,-1,-1,,2,2,1,3,,-1,-1,,1.667,,-1,1,-1
