Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Co-Cell Seeding-2,Scaffold,Scaffold-1-Con,Scaffold-2-Con,Scaffold-3-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Pore Size,Thick,Diameter,Porosity,Water uptake ratio,Young,Flow Rate,Fabrication,Fabr-para1,Fabr-para2,Fabr-para3
2-perfused,3,48.387,8,40,-1,-1,3,,-1,-1,1,,-1,,3,0.2,0.3,,,,25,8,187,6,25
2-static,3,69.841,8,40,-1,-1,3,,-1,-1,1,,-1,,3,0.2,0.3,,,,0,8,187,6,25
3-PLLA Scaffold,3,2.569,1,50,-1,-1,1,,-1,-1,4.1,64.8,0.05,,,0.5,8,,,,0,3.2,,0.05,80
3-3-dECM Scaffold,3,2.844,1,50,-1,-1,2,-1,-1,-1,-1,-1,-1,,,0.5,8,,,,0,6,1,235,1.2
5-PET,3,0.298,3,0.052,-1,-1,4,,-1,-1,-1,-1,-1,,,0.36,0.0115,81.8,314.56,849206,0,,,,
5-PET-AAc,3,0.306,3,0.052,-1,-1,4,,-1,-1,9,,-1,,,0.36,0.0115,84.1,500.97,583333,0,,,,
5-PET-Gal,3,0.399,3,0.052,-1,-1,4,,-1,-1,9.11,,,,,0.36,0.0115,82.3,499.51,1634920,0,,,,
5-PET-Gel,3,0.397,3,0.052,-1,-1,4,,-1,-1,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698,0,,,,
6-MePS,3,5.655,8,0.7,-1,-1,14,,-1,-1,1,0.008,-1,,0.142,1.3,6.9,16,,310,164,8,1,1,750
10-Hep,3,46.151,1,0.2,-1,-1,10.11,7.5,7.5,-1,-1,-1,-1,,20.5,,15,,,,0,1,0.6,20,
10-Hep-Fib,3,61.136,1.13,0.2,0.3,-1,10.11,7.5,7.5,-1,-1,-1,-1,,20.5,,15,,,,0,1,0.6,20,
10-Hep-EC,3,57.24,1.7,0.2,0.15,-1,10.11,7.5,7.5,-1,-1,-1,-1,,20.5,,15,,,,0,1,0.6,20,
10-Hep-Fib-EC,3,76.42,1.1307,0.2,0.3,0.15,10.11,7.5,7.5,-1,-1,-1,-1,,20.5,,15,,,,0,1,0.6,20,
11-PELA,3,30.104,8,4,-1,-1,10,,-1,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F1/9,3,36.993,8,4,-1,-1,10.11,1,9,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F3/7,3,44.781,8,4,-1,-1,10.11,3,7,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F5/5,3,51.671,8,4,-1,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F7/3,3,49.574,8,4,-1,-1,10.11,7,3,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F9/1,3,47.028,8,4,-1,-1,10.11,9,1,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Direct,3,0.034,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern C Culture,3,0.048,8,4,-1,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern A,3,0.054,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern B,3,0.054,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern C,3,0.056,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern D,3,0.053,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
14-Hep,3,28.571,10,0.2,-1,-1,10.11,15,-1,-1,-1,-1,-1,,25.6,0.4,15,,,,0,1,0.6,20,
14-Hep-Fib,3,55.628,10.13,0.2,0.3,-1,10.11,15,-1,-1,-1,-1,-1,,25.6,0.4,15,,,,0,1,0.6,20,
14-Hep-Fib,3,68.831,10.1307,0.2,0.3,0.15,10.11,15,-1,-1,-1,-1,-1,,25.6,0.4,15,,,,0,1,0.6,20,
16-static,3,2,8.23,3,10,-1,19,,,,-1,-1,-1,,140,0.42,6,,,,0,,,,
16-fluidic,3,4.356,8.23,3,10,-1,19,,,,-1,-1,-1,,140,0.42,6,,,,650,,,,
18-Agarose,3,29.661,4,1,-1,-1,16,0.99,-1,-1,-1,-1,-1,,,,,,,,0,11,121,20,
18-Alginate,3,56.356,4,1,-1,-1,7,0.57,-1,-1,-1,-1,-1,,,,,,,,0,12,60,,
18-HA-PEG,3,16.808,4,1,-1,-1,34.15,1.587,-1,-1,12,-1,-1,,,,,,,,0,9,1.2,,
