Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Co-Cell Seeding-2,Scaffold,Scaffold-1-Con,Scaffold-2-Con,Scaffold-3-Con,Modification,Modi-1-Con,Modi-2-Con,Cross-linking,Pore Size,Thick,Diameter,Porosity,Water uptake ratio,Young,Flow Rate,Fabrication,Fabr-para1,Fabr-para2,Fabr-para3
5-PET,3,1987.73,3,0.052,-1,-1,4,,-1,-1,-1,-1,-1,,,0.36,0.0115,81.8,314.56,849206,0,,,,
5-PET-AAc,3,2046.626,3,0.052,-1,-1,4,,-1,-1,9,,-1,,,0.36,0.0115,84.1,500.97,583333,0,,,,
5-PET-Gal,3,2988.957,3,0.052,-1,-1,4,,-1,-1,9.11,,,,,0.36,0.0115,82.3,499.51,1634920,0,,,,
5-PET-Gel,3,3121.472,3,0.052,-1,-1,4,,-1,-1,9.5,,1.459,,,0.36,0.0115,81.6,483.49,1662698,0,,,,
10-Hep,3,30.047,1,0.2,-1,-1,10.11,7.5,7.5,-1,-1,-1,-1,,20.5,,15,,,,0,1,0.6,20,
10-Hep-Fib,3,41.953,1.13,0.2,0.3,-1,10.11,7.5,7.5,-1,-1,-1,-1,,20.5,,15,,,,0,1,0.6,20,
10-Hep-EC,3,38.693,1.7,0.2,0.15,-1,10.11,7.5,7.5,-1,-1,-1,-1,,20.5,,15,,,,0,1,0.6,20,
10-Hep-Fib-EC,3,44.646,1.1307,0.2,0.3,0.15,10.11,7.5,7.5,-1,-1,-1,-1,,20.5,,15,,,,0,1,0.6,20,
11-PELA,3,19.332,8,4,-1,-1,10,,-1,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F1/9,3,22.868,8,4,-1,-1,10.11,1,9,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F3/7,3,27.741,8,4,-1,-1,10.11,3,7,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F5/5,3,33.556,8,4,-1,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F7/3,3,32.849,8,4,-1,-1,10.11,7,3,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-F9/1,3,32.77,8,4,-1,-1,10.11,9,1,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Direct,3,0.027,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern C Culture,3,0.027,8,4,-1,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern A,3,0.032,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern B,3,0.042,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern C,3,0.042,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
11-Pattern D,3,0.041,8.13,0.1,0.3,-1,10.11,5,5,-1,-1,-1,-1,,11.7,,15,,,,0,1,0.6,20,
14-Hep,3,25.974,10,0.2,-1,-1,10.11,15,-1,-1,-1,-1,-1,,25.6,0.4,15,,,,0,1,0.6,20,
14-Hep-Fib,3,34.545,10.13,0.2,0.3,-1,10.11,15,-1,-1,-1,-1,-1,,25.6,0.4,15,,,,0,1,0.6,20,
14-Hep-Fib-EC,3,38.961,10.1307,0.2,0.3,0.15,10.11,15,-1,-1,-1,-1,-1,,25.6,0.4,15,,,,0,1,0.6,20,
16-static,3,81.481,8.23,3,10,-1,19,,,,-1,-1,-1,,140,0.42,6,,,,0,,,,
16-fluidic,3,327.778,8.23,3,10,-1,19,,,,-1,-1,-1,,140,0.42,6,,,,650,,,,
18-Agarose,3,4.673,4,1,-1,-1,16,0.99,-1,-1,-1,-1,-1,,,,,,,,0,11,121,20,
18-Alginate,3,16.307,4,1,-1,-1,7,0.57,-1,-1,-1,-1,-1,,,,,,,,0,12,60,,
18-HA-PEG,3,10.739,4,1,-1,-1,34.15,1.587,-1,-1,12,-1,-1,,,,,,,,0,9,1.2,,
22-3D,3,106.108,10,0.5,-1,-1,5,0.165,-1,-1,-1,-1,-1,,,,,,,,0,14,7.4,37,
23-T-SDS,3,226.042,10,1,-1,-1,18,-1,-1,-1,-1,-1,-1,,,,,,,,20000,6,2,27.5,1.3
23-S-SDS,3,128.819,10,1,-1,-1,18,-1,-1,-1,-1,-1,-1,,,,,,,,20000,6,2,27.5,4.3
23-SDS,3,102.894,10,1,-1,-1,18,-1,-1,-1,-1,-1,-1,,,,,,,,20000,6,2,27.5,3
1-PLGA,3,,8,10,-1,-1,12,8,-1,-1,-1,-1,-1,,27.5,3,6,95.9,,,0,1,0.5,20,13.4
1-PLGA-Chigh,3,,8,10,-1,-1,12,8,-1,-1,1,0.008,-1,,26.7,3,6,95.9,,,0,1,0.5,20,13.4
1-PLGA-Clow,3,,8,10,-1,-1,12,8,-1,-1,1,0.004,-1,,29.1,3,6,94,,,0,1,0.5,20,13.4
1-PLGA-Fhigh,3,,8,10,-1,-1,12,8,-1,-1,2,0.004,-1,,30,3,6,95.6,,,0,1,0.5,20,13.4
1-PLGA-Flow,3,,8,10,-1,-1,12,8,-1,-1,2,0.002,-1,,28.4,3,6,96,,,0,1,0.5,20,13.4
4-static,3,,2,2.4,-1,-1,12,3,-1,-1,1,0.83,-1,,250,3,10,85,,,0,2,0.83,20,2
4-dynamic,3,,2,2.4,-1,-1,12,3,-1,-1,1,0.83,-1,,250,3,10,85,,,200,2,0.83,20,2
8-PVA,3,,5,7.5,-1,-1,6,13,-1,-1,-1,-1,-1,,,2,6,78,,54,0,4,1,400,
9-hexagonal,3,,6,12.5,-1,-1,7,4,-1,-1,6,0.71,-1,,,,0.13,66.3,,51.3,0,3,,,
9-squared,3,,6,12.5,-1,-1,7,4,-1,-1,6,0.71,-1,,,,0.13,66.6,,77.2,0,3,,,
12-2D+DLS,3,,9,1,-1,-1,18,-1,-1,-1,-1,-1,-1,,,3,8,,,,0,6,2,11.25,1.3
12-3D+DLS,3,,9,1,-1,-1,18,-1,-1,-1,-1,-1,-1,,,3.1,8,,,,0,6,2,11.25,1.3
13-Monoculture,3,,10,0.8,-1,-1,13,5.9,-1,-1,10.1,,0.08,,462,2.5,5,,,,0,5,1,4,1
13-Coculture,3,,10.11,0.8,0.1,-1,13,5.9,-1,-1,10.1,,0.08,,462,2.5,5,,,,0,5,1,4,1
c13-PELA,3,,10,50,-1,-1,10.11,4,4,-1,-1,-1,-1,,5.9,0.1,0.436,,,,0,1,1,20,
17-HepG2,3,,4,2,-1,-1,15.709,0.88,1.5,2.2,-1,-1,-1,,,2,8,91.85,94,,7000,13,12,16,
17-HepG2-PNIPAAm,3,,4,2,-1,-1,15.709,0.88,1.5,2.2,31,0.05,-1,,,2,8,91.85,94,,7000,13,12,16,
17-Huh7,3,,16,2,-1,-1,15.709,0.88,1.5,2.2,-1,-1,-1,,,2,8,91.85,94,,7000,13,12,16,
