Feature,Day,Albumin,Cell,Cell Seeding,Co-Cell Seeding,Spheroid-Dia,Tethered,Tethered Film,Modification,Flow Rate,Self-assembled
3-MPCC,3,24.727,6.21,0.1,0.3,,2,-1,-1,0,1
3-MPH,3,2.364,6,0.1,-1,,2,-1,-1,0,1
3-CC,3,6.727,6,1,-1,,2,-1,-1,0,1
3-RCC,3,5.636,6.21,1,3,,2,-1,-1,0,1
4-spheroid,3,26.435,8,0.0667,-1,,2,-1,-1,0,1
6-spheroid,3,4.364,8,0.18,-1,100,1,1,2,0,1
7-PET,3,521.053,10,0.1,-1,125.47,1,1,2,0,1
7-PS,3,584.912,10,0.1,-1,125.47,1,2,1,0,1
7-TS-PS,3,0.979,8,0.5,-1,118.36,1,2,1,0,1
8-Hep + FCS,3,739.372,10,0.25,-1,110,2,-1,4.5,0,1
8-Hep - FCS,3,2680.222,10,0.25,-1,110,2,-1,4,0,1
8-Co-culture + FCS,3,1617.375,10.23,0.25,0.4,110,2,-1,4.5,0,1
8-Co-culture - FCS,3,1802.218,10.23,0.25,0.4,110,2,-1,4,0,1
9-donor B,3,1.542,8,0.2,-1,81,2,-1,-1,2500,1
13-5C,3,3.023,8,0.015,-1,,2,-1,4,0,1
c5-static co,3,58.516,8.24,1,0.25,150,2,-1,-1,0,1
2-spheroid,3,,19,0.025,-1,109.5,2,-1,-1,0,1
2-bioreactor,3,,19,80,-1,109.5,2,-1,6,50,1
5-SCS,3,,10,0.1,-1,,1,3,3,0,1
5-PCS,3,,10,0.1,-1,,1,3,3,30,1
11-spheroid,3,,22,1,-1,100,2,-1,-1,0,1
12-spheroid,3,,8,0.6,-1,200,2,-1,8,800,1
13-3D,3,,8,0.015,-1,,2,-1,-1,0,1
c17-spheroid,3,,10,0.1,-1,,1,3,3.9,0,1
