Feature,Day,Urea,Cell,Cell Seeding,Co-Cell Seeding,Spheroid-Dia,Tethered,Tethered Film,Modification,Flow Rate,Self-assembled
3-MPCC,3,23.322,6.21,0.1,0.3,,2,-1,-1,0,1
3-CC,3,3.757,6,1,-1,,2,-1,-1,0,1
6-spheroid,3,50.909,8,0.18,-1,100,1,1,2,0,1
7-PET,3,186.154,10,0.1,-1,125.47,1,1,2,0,1
7-PS,3,115.385,10,0.1,-1,125.47,1,2,1,0,1
8-Hep + FCS,3,79.295,10,0.25,-1,110,2,-1,4.5,0,1
8-Hep - FCS,3,227.974,10,0.25,-1,110,2,-1,4,0,1
8-Co-culture + FCS,3,327.093,10.23,0.25,0.4,110,2,-1,4.5,0,1
8-Co-culture - FCS,3,505.507,10.23,0.25,0.4,110,2,-1,4,0,1
9-donor B,3,881.437,8,0.2,-1,81,2,-1,-1,2500,1
13-5C,3,617.162,8,0.015,-1,,2,-1,4,0,1
c5-static co,3,25.442,8.24,1,0.25,150,2,-1,-1,0,1
1-PHH,3,,8,0.02,-1,,2,-1,-1,0,1
1-HepaRG,3,,6,0.02,-1,,2,-1,-1,0,1
2-spheroid,3,,19,0.025,-1,109.5,2,-1,-1,0,1
2-bioreactor,3,,19,80,-1,109.5,2,-1,6,50,1
5-SCS,3,,10,0.1,-1,,1,3,3,0,1
5-PCS,3,,10,0.1,-1,,1,3,3,30,1
11-spheroid,3,,22,1,-1,100,2,-1,-1,0,1
12-spheroid,3,,8,0.6,-1,200,2,-1,8,800,1
13-3D,3,,8,0.015,-1,,2,-1,-1,0,1
c17-spheroid,3,,10,0.1,-1,,1,3,3.9,0,1
